mag,dist,mag_dist,severity,severity_dist
0.67,9,0.49,Micro,None
0.75,23,0.29,Micro,None
4.9,232,0.26,Light,None
0.63,54,0,Micro,None
1.24,170,0,Micro,None
3.61,12,3.37,Minor 2,Minor 2
2,4,1.92,Minor 1,Minor 1
2.16,34,1.48,Minor 1,Micro
2.2,23,1.74,Minor 1,Micro
3.79,228,0,Minor 2,None
1.67,188,0,Micro,None
4.3,21,3.88,Light,Minor 2
1.6,60,0.4,Micro,None
0.56,39,0,Micro,None
1.15,87,0,Micro,None
4.3,31,3.68,Light,Minor 2
0.92,87,0,Micro,None
2.27,149,0,Minor 1,None
3.3,29,2.72,Minor 2,Minor 1
3.2,21,2.78,Minor 2,Minor 1
1.14,247,0,Micro,None
2.22,43,1.36,Minor 1,Micro
4.8,197,0.86,Light,None
0.8,208,0,Micro,None
1.7,204,0,Micro,None
2.74,172,0,Minor 1,None
0.72,21,0.3,Micro,None
1.6,168,0,Micro,None
0.88,12,0.64,Micro,None
2.01999998,83,0.35999998,Minor 1,None
4.9,183,1.24,Light,Micro
1,68,0,Micro,None
0.95,16,0.63,Micro,None
1,158,0,Micro,None
4.5,56,3.38,Light,Minor 2
1.6,117,0,Micro,None
2.4,233,0,Minor 1,None
4.2,88,2.44,Light,Minor 1
0.99,126,0,Micro,None
1.79999995,202,0,Micro,None
2.4,84,0.72,Minor 1,None
1.1,160,0,Micro,None
4.5,196,0.58,Light,None
2.6,38,1.84,Minor 1,Micro
0.85,46,0,Micro,None
1.8,59,0.62,Micro,None
1.26,20,0.86,Micro,None
2.2,134,0,Minor 1,None
2.50999999,37,1.76999999,Minor 1,Micro
4.6,209,0.42,Light,None
5.1,19,4.72,Moderate,Light
0.79,153,0,Micro,None
2.27,62,1.03,Minor 1,Micro
1.82,90,0.02,Micro,None
1.4,79,0,Micro,None
4.9,198,0.94,Light,Micro
0.96,135,0,Micro,None
1.5,37,0.76,Micro,None
1.26,50,0.26,Micro,None
1.27,167,0,Micro,None
1.5,34,0.82,Micro,None
0.91,222,0,Micro,None
0.86,201,0,Micro,None
3.7,66,2.38,Minor 2,Minor 1
3.95,23,3.49,Light,Minor 2
0.67,78,0,Micro,None
0.78,58,0,Micro,None
1.6,125,0,Micro,None
1.23,135,0,Micro,None
0.85,134,0,Micro,None
2.2,200,0,Minor 1,None
4.2,159,1.02,Light,Micro
0.85,130,0,Micro,None
1.9,131,0,Micro,None
1.5,12,1.26,Micro,Micro
0.81,135,0,Micro,None
0.69,108,0,Micro,None
2.26999998,160,0,Minor 1,None
1.5,26,0.98,Micro,Micro
1.67,206,0,Micro,None
0.85,179,0,Micro,None
1.94,48,0.98,Minor 1,Micro
1.5,106,0,Micro,None
0.74,73,0,Micro,None
3.82,11,3.6,Minor 2,Minor 2
1.96,147,0,Minor 1,None
1.3,237,0,Micro,None
1.29,125,0,Micro,None
4.5,41,3.68,Light,Minor 2
0.75,138,0,Micro,None
2.72,157,0,Minor 1,None
1.97,140,0,Minor 1,None
1.6,73,0.14,Micro,None
0.53,9,0.35,Micro,None
1.4,125,0,Micro,None
1.72,193,0,Micro,None
0.6,16,0.28,Micro,None
0.96,7,0.82,Micro,None
1.5,124,0,Micro,None
1.4,66,0.08,Micro,None
1.36,22,0.92,Micro,Micro
1.8,232,0,Micro,None
2.7,116,0.38,Minor 1,None
0.83,175,0,Micro,None
4,156,0.88,Light,None
1.57,114,0,Micro,None
2.26,47,1.32,Minor 1,Micro
4.9,96,2.98,Light,Minor 2
1.18,127,0,Micro,None
0.85,234,0,Micro,None
0.77,49,0,Micro,None
1.04,165,0,Micro,None
1.47,153,0,Micro,None
1.74,192,0,Micro,None
1.68,141,0,Micro,None
1.77999997,37,1.03999997,Micro,Micro
1.5,248,0,Micro,None
2.31,79,0.73,Minor 1,None
